dataset,nace,indic,size_emp,geo,year,value,unit
isoc_eb_ain2,F,E_AI_TNLG,GE10,EU27_2020,2024,2.42,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,EU27_2020,2025,3.25,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,FI,2021,2.19,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,FI,2023,0.86,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,FI,2024,6.61,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,FI,2025,9.2,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,FR,2021,1.31,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,FR,2023,0.38,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,FR,2024,1.8,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,FR,2025,2.59,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,HU,2021,0.07,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,HU,2023,0.43,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,HU,2024,0.43,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,HU,2025,1.41,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,IE,2021,0.0,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,IE,2023,1.48,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,IE,2024,2.67,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,IE,2025,0.38,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,IT,2021,1.72,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,IT,2023,0.71,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,IT,2024,2.4,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,IT,2025,3.1,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,NL,2021,0.22,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,NL,2023,1.02,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,NL,2024,4.3,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,NL,2025,8.13,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,PL,2021,0.01,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,PL,2023,0.28,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,PL,2024,0.9,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,PL,2025,1.15,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,PT,2021,0.43,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,PT,2023,0.03,PC_ENT
