REF_AREA,COUNTERPART_AREA,TRADE_FLOW,SERVICE,TIME_PERIOD,OBS_VALUE,ADJUSTMENT,UNIT_MEASURE,OBS_STATUS,corridor,service_name,source_url
IND,GBR,M,SE,2022,78.115238,B,USD_EXC,I,India imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SE,2023,68.218901,B,USD_EXC,I,India imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SE,2024,72.613044,B,USD_EXC,I,India imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SI,2015,529.746304,B,USD_EXC,I,India imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SI,2016,407.827346,B,USD_EXC,I,India imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SI,2017,305.111373,B,USD_EXC,I,India imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SI,2018,1801.030403,B,USD_EXC,I,India imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SI,2019,389.199964,B,USD_EXC,I,India imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SI,2020,554.440515,B,USD_EXC,I,India imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SI,2021,439.354704,B,USD_EXC,I,India imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SI,2022,531.18499,B,USD_EXC,I,India imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SI,2023,661.771385,B,USD_EXC,I,India imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SI,2024,707.567182,B,USD_EXC,I,India imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SJ3,2015,712.025051,B,USD_EXC,I,India imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SJ3,2016,539.935939,B,USD_EXC,I,India imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SJ3,2017,540.748272,B,USD_EXC,I,India imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SJ3,2018,721.509595,B,USD_EXC,I,India imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SJ3,2019,787.631945,B,USD_EXC,I,India imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SJ3,2020,783.792772,B,USD_EXC,I,India imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SJ3,2021,786.526502,B,USD_EXC,I,India imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SJ3,2022,978.665434,B,USD_EXC,I,India imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SJ3,2023,1365.628621,B,USD_EXC,I,India imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SJ3,2024,1554.186073,B,USD_EXC,I,India imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SE,2015,63.686504,B,USD_EXC,I,UK imports from China,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SE,2016,51.09073,B,USD_EXC,I,UK imports from China,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SE,2017,88.44106,B,USD_EXC,I,UK imports from China,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SE,2018,135.558839,B,USD_EXC,I,UK imports from China,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SE,2019,118.50812,B,USD_EXC,I,UK imports from China,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SE,2020,114.980151,B,USD_EXC,I,UK imports from China,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SE,2021,135.315353,B,USD_EXC,I,UK imports from China,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SE,2022,143.224714,B,USD_EXC,I,UK imports from China,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SE,2023,205.056259,B,USD_EXC,I,UK imports from China,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SE,2024,179.830438,B,USD_EXC,I,UK imports from China,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SI,2015,491.695563,B,USD_EXC,I,UK imports from China,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SI,2016,508.453607,B,USD_EXC,I,UK imports from China,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SI,2017,421.10083,B,USD_EXC,I,UK imports from China,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SI,2018,661.364114,B,USD_EXC,I,UK imports from China,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
