importer,partner,year,value,iso3,ai_M_2024,ai_F_2024,ai_M_2021,ai_F_2021,dM,dF,gap24,ai_M,ai_F,logv,ihs,post,post20,post_x_dM,post_x_dF,post_x_M24,post_x_F24,post_x_gap,fake_x_dM
NLD,PHL,2019,172.159368,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,,,5.148420605962964,5.841576221291935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,VNM,2019,17.43573,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,,,2.8585215490532208,3.5524900728188507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,IND,2020,798.669849,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,,,6.682947655116888,7.376095227603825,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.73
NLD,PHL,2020,214.993039,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,,,5.370605650859338,6.063758240054455,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.73
NLD,VNM,2020,16.72522,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,,,2.8169177598889155,3.5109574541574617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.73
ITA,IND,2023,219.567204,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,9.23,2.62,5.391658354220116,6.084810720411986,1.0,1.0,10.879999999999999,0.0,19.56,5.24,14.319999999999999,10.879999999999999
ITA,IND,2021,251.308198,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,8.68,5.24,5.526680066381157,6.2198312053815705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.879999999999999
ITA,PHL,2021,78.465791,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,8.68,5.24,4.362662746367674,5.055850529434084,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.879999999999999
ITA,VNM,2021,7.883052,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,8.68,5.24,2.064715138529438,2.7618612679875896,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.879999999999999
ITA,IND,2022,214.840873,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,,,5.36989762851811,6.063050225377459,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.879999999999999
ITA,PHL,2022,109.015478,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,,,4.691489872148098,5.384658088069479,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.879999999999999
ITA,VNM,2022,10.739778,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,,,2.3739544184760217,3.069262037575439,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.879999999999999
ITA,IND,2019,215.081135,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,,,5.371015329033747,6.064167913799115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,PHL,2019,60.287212,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,,,4.099120008273997,4.7923359660834315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
