REF_AREA,COUNTERPART_AREA,TRADE_FLOW,SERVICE,TIME_PERIOD,OBS_VALUE,ADJUSTMENT,UNIT_MEASURE,OBS_STATUS,source_key
IND,GBR,M,SI,2018,1801.030403,B,USD_EXC,I,IND.GBR.M.S.SI.A.USD_EXC.B
IND,GBR,M,SI,2019,389.199964,B,USD_EXC,I,IND.GBR.M.S.SI.A.USD_EXC.B
IND,GBR,M,SI,2020,554.440515,B,USD_EXC,I,IND.GBR.M.S.SI.A.USD_EXC.B
IND,GBR,M,SI,2021,439.354704,B,USD_EXC,I,IND.GBR.M.S.SI.A.USD_EXC.B
IND,GBR,M,SI,2022,531.18499,B,USD_EXC,I,IND.GBR.M.S.SI.A.USD_EXC.B
IND,GBR,M,SI,2023,661.771385,B,USD_EXC,I,IND.GBR.M.S.SI.A.USD_EXC.B
IND,GBR,M,SI,2024,707.567182,B,USD_EXC,I,IND.GBR.M.S.SI.A.USD_EXC.B
IND,GBR,M,SJ1,2015,54.190843,B,USD_EXC,I,IND.GBR.M.S.SJ1.A.USD_EXC.B
IND,GBR,M,SJ1,2016,36.176832,B,USD_EXC,I,IND.GBR.M.S.SJ1.A.USD_EXC.B
IND,GBR,M,SJ1,2017,50.844222,B,USD_EXC,I,IND.GBR.M.S.SJ1.A.USD_EXC.B
IND,GBR,M,SJ1,2018,43.66001,B,USD_EXC,I,IND.GBR.M.S.SJ1.A.USD_EXC.B
IND,GBR,M,SJ1,2019,51.442297,B,USD_EXC,I,IND.GBR.M.S.SJ1.A.USD_EXC.B
IND,GBR,M,SJ1,2020,48.365548,B,USD_EXC,I,IND.GBR.M.S.SJ1.A.USD_EXC.B
IND,GBR,M,SJ1,2021,40.391092,B,USD_EXC,I,IND.GBR.M.S.SJ1.A.USD_EXC.B
IND,GBR,M,SJ1,2022,25.89717,B,USD_EXC,I,IND.GBR.M.S.SJ1.A.USD_EXC.B
IND,GBR,M,SJ1,2023,17.022619,B,USD_EXC,I,IND.GBR.M.S.SJ1.A.USD_EXC.B
IND,GBR,M,SJ1,2024,23.349739,B,USD_EXC,I,IND.GBR.M.S.SJ1.A.USD_EXC.B
IND,GBR,M,SJ2,2015,441.165135,B,USD_EXC,I,IND.GBR.M.S.SJ2.A.USD_EXC.B
IND,GBR,M,SJ2,2016,332.11733,B,USD_EXC,I,IND.GBR.M.S.SJ2.A.USD_EXC.B
IND,GBR,M,SJ2,2017,279.229156,B,USD_EXC,I,IND.GBR.M.S.SJ2.A.USD_EXC.B
IND,GBR,M,SJ2,2018,383.824441,B,USD_EXC,I,IND.GBR.M.S.SJ2.A.USD_EXC.B
IND,GBR,M,SJ2,2019,750.010576,B,USD_EXC,I,IND.GBR.M.S.SJ2.A.USD_EXC.B
IND,GBR,M,SJ2,2020,1805.97047,B,USD_EXC,I,IND.GBR.M.S.SJ2.A.USD_EXC.B
IND,GBR,M,SJ2,2021,936.513414,B,USD_EXC,I,IND.GBR.M.S.SJ2.A.USD_EXC.B
IND,GBR,M,SJ2,2022,522.275867,B,USD_EXC,I,IND.GBR.M.S.SJ2.A.USD_EXC.B
IND,GBR,M,SJ2,2023,612.264449,B,USD_EXC,I,IND.GBR.M.S.SJ2.A.USD_EXC.B
IND,GBR,M,SJ2,2024,905.565644,B,USD_EXC,I,IND.GBR.M.S.SJ2.A.USD_EXC.B
IND,GBR,M,SJ3,2015,712.025051,B,USD_EXC,I,IND.GBR.M.S.SJ3.A.USD_EXC.B
IND,GBR,M,SJ3,2016,539.935939,B,USD_EXC,I,IND.GBR.M.S.SJ3.A.USD_EXC.B
IND,GBR,M,SJ3,2017,540.748272,B,USD_EXC,I,IND.GBR.M.S.SJ3.A.USD_EXC.B
IND,GBR,M,SJ3,2018,721.509595,B,USD_EXC,I,IND.GBR.M.S.SJ3.A.USD_EXC.B
IND,GBR,M,SJ3,2019,787.631945,B,USD_EXC,I,IND.GBR.M.S.SJ3.A.USD_EXC.B
IND,GBR,M,SJ3,2020,783.792772,B,USD_EXC,I,IND.GBR.M.S.SJ3.A.USD_EXC.B
IND,GBR,M,SJ3,2021,786.526502,B,USD_EXC,I,IND.GBR.M.S.SJ3.A.USD_EXC.B
IND,GBR,M,SJ3,2022,978.665434,B,USD_EXC,I,IND.GBR.M.S.SJ3.A.USD_EXC.B
IND,GBR,M,SJ3,2023,1365.628621,B,USD_EXC,I,IND.GBR.M.S.SJ3.A.USD_EXC.B
IND,GBR,M,SJ3,2024,1554.186073,B,USD_EXC,I,IND.GBR.M.S.SJ3.A.USD_EXC.B
IND,W,M,SE,2015,1328.136282,B,USD_EXC,I,IND.W.M.S.SE.A.USD_EXC.B
IND,W,M,SE,2016,1291.637387,B,USD_EXC,I,IND.W.M.S.SE.A.USD_EXC.B
IND,W,M,SE,2017,1626.325975,B,USD_EXC,I,IND.W.M.S.SE.A.USD_EXC.B
IND,W,M,SE,2018,2222.833656,B,USD_EXC,I,IND.W.M.S.SE.A.USD_EXC.B
IND,W,M,SE,2019,2160.897041,B,USD_EXC,I,IND.W.M.S.SE.A.USD_EXC.B
IND,W,M,SE,2020,2134.631892,B,USD_EXC,I,IND.W.M.S.SE.A.USD_EXC.B
IND,W,M,SE,2021,2223.304054,B,USD_EXC,I,IND.W.M.S.SE.A.USD_EXC.B
IND,W,M,SE,2022,2213.91777,B,USD_EXC,I,IND.W.M.S.SE.A.USD_EXC.B
IND,W,M,SE,2023,2235.190028,B,USD_EXC,I,IND.W.M.S.SE.A.USD_EXC.B
