dataset,nace,nace_label,indic,indic_label,geo,year,value
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,CZ,2022,191.58
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,CZ,2023,223.47
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,CZ,2024,230.54
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,DE,2021,2662.8
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,DE,2022,2064.25
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,DE,2023,2241.9
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,DE,2024,2254.86
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,DK,2021,78.61
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,DK,2022,76.22
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,DK,2023,77.83
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,DK,2024,78.21
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,EL,2021,91.45
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,EL,2022,92.92
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,EL,2023,120.46
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,EL,2024,97.16
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,ES,2021,652.91
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,ES,2022,714.0
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,ES,2023,788.77
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,ES,2024,876.76
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,EU27_2020,2021,7859.93
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,EU27_2020,2022,7488.8
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,EU27_2020,2023,8038.86
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,FI,2021,52.16
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,FI,2022,32.76
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,FI,2023,45.39
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,FI,2024,67.31
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,FR,2021,938.26
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,FR,2022,837.56
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,FR,2023,850.24
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,FR,2024,1019.05
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,HU,2021,81.71
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,HU,2022,92.75
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,HU,2023,114.09
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,HU,2024,116.24
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,IE,2021,446.36
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,IE,2022,369.97
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,IE,2023,378.43
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,IE,2024,654.98
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,IT,2021,933.96
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,IT,2022,1141.68
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,IT,2023,1088.84
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,IT,2024,1233.47
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,NL,2021,343.28
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,NL,2022,381.42
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,NL,2023,520.2
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,NL,2024,564.99
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,PL,2021,217.74
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,PL,2022,251.4
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,PL,2023,251.45
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,PL,2024,282.49
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,PT,2021,94.05
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,PT,2022,113.54
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,PT,2023,104.36
sbs_sc_ovw,M712,Technical testing and analysis,GOS_MEUR,Gross operating surplus - million euro,PT,2024,109.61
