dataset,bop_item,stk_flow,partner,geo,year,currency,value
bop_its6_det,SJ312,DEB,US,PL,2015,MIO_EUR,31.8
bop_its6_det,SJ312,DEB,US,PL,2016,MIO_EUR,38.0
bop_its6_det,SJ312,DEB,US,PL,2017,MIO_EUR,29.1
bop_its6_det,SJ312,DEB,US,PL,2018,MIO_EUR,29.6
bop_its6_det,SJ312,DEB,US,PL,2019,MIO_EUR,26.8
bop_its6_det,SJ312,DEB,US,PL,2020,MIO_EUR,24.8
bop_its6_det,SJ312,DEB,US,PL,2021,MIO_EUR,26.3
bop_its6_det,SJ312,DEB,US,PL,2022,MIO_EUR,70.6
bop_its6_det,SJ312,DEB,US,PL,2023,MIO_EUR,157.4
bop_its6_det,SJ312,DEB,US,PL,2024,MIO_EUR,299.4
bop_its6_det,SJ312,DEB,US,PT,2015,MIO_EUR,0.0
bop_its6_det,SJ312,DEB,US,PT,2016,MIO_EUR,2.0
bop_its6_det,SJ312,DEB,US,PT,2017,MIO_EUR,1.0
bop_its6_det,SJ312,DEB,US,PT,2018,MIO_EUR,2.0
bop_its6_det,SJ312,DEB,US,PT,2019,MIO_EUR,5.0
bop_its6_det,SJ312,DEB,US,PT,2020,MIO_EUR,2.0
bop_its6_det,SJ312,DEB,US,PT,2021,MIO_EUR,1.0
bop_its6_det,SJ312,DEB,US,PT,2022,MIO_EUR,11.0
bop_its6_det,SJ312,DEB,US,PT,2023,MIO_EUR,4.0
bop_its6_det,SJ312,DEB,US,PT,2024,MIO_EUR,7.0
bop_its6_det,SJ312,DEB,US,RO,2016,MIO_EUR,20.7
bop_its6_det,SJ312,DEB,US,RO,2019,MIO_EUR,10.5
bop_its6_det,SJ312,DEB,US,RO,2022,MIO_EUR,6.5
bop_its6_det,SJ312,DEB,US,SE,2015,MIO_EUR,41.7
bop_its6_det,SJ312,DEB,US,SE,2016,MIO_EUR,33.7
bop_its6_det,SJ312,DEB,US,SE,2017,MIO_EUR,70.4
bop_its6_det,SJ312,DEB,US,SE,2018,MIO_EUR,85.8
bop_its6_det,SJ312,DEB,US,SE,2019,MIO_EUR,85.7
bop_its6_det,SJ312,DEB,US,SE,2020,MIO_EUR,32.6
bop_its6_det,SJ312,DEB,US,SE,2021,MIO_EUR,175.9
bop_its6_det,SJ312,DEB,US,SE,2022,MIO_EUR,214.3
bop_its6_det,SJ312,DEB,US,SE,2023,MIO_EUR,178.2
bop_its6_det,SJ312,DEB,US,SE,2024,MIO_EUR,208.1
bop_its6_det,SJ312,CRE,US,AT,2015,MIO_EUR,102.0
bop_its6_det,SJ312,CRE,US,AT,2016,MIO_EUR,114.0
bop_its6_det,SJ312,CRE,US,AT,2017,MIO_EUR,110.0
bop_its6_det,SJ312,CRE,US,AT,2018,MIO_EUR,107.0
bop_its6_det,SJ312,CRE,US,AT,2019,MIO_EUR,88.0
bop_its6_det,SJ312,CRE,US,AT,2020,MIO_EUR,110.0
bop_its6_det,SJ312,CRE,US,AT,2021,MIO_EUR,152.0
bop_its6_det,SJ312,CRE,US,AT,2022,MIO_EUR,128.0
bop_its6_det,SJ312,CRE,US,AT,2023,MIO_EUR,181.0
bop_its6_det,SJ312,CRE,US,AT,2024,MIO_EUR,201.0
bop_its6_det,SJ312,CRE,US,BE,2019,MIO_EUR,69.0
bop_its6_det,SJ312,CRE,US,BE,2020,MIO_EUR,55.0
bop_its6_det,SJ312,CRE,US,BE,2023,MIO_EUR,423.0
bop_its6_det,SJ312,CRE,US,BE,2024,MIO_EUR,602.0
bop_its6_det,SJ312,CRE,US,CZ,2015,MIO_EUR,12.7
bop_its6_det,SJ312,CRE,US,CZ,2016,MIO_EUR,12.9
bop_its6_det,SJ312,CRE,US,CZ,2017,MIO_EUR,8.1
bop_its6_det,SJ312,CRE,US,CZ,2018,MIO_EUR,9.3
bop_its6_det,SJ312,CRE,US,CZ,2019,MIO_EUR,17.3
bop_its6_det,SJ312,CRE,US,CZ,2020,MIO_EUR,17.4
bop_its6_det,SJ312,CRE,US,CZ,2021,MIO_EUR,15.0
bop_its6_det,SJ312,CRE,US,CZ,2022,MIO_EUR,19.5
bop_its6_det,SJ312,CRE,US,CZ,2023,MIO_EUR,8.7
bop_its6_det,SJ312,CRE,US,CZ,2024,MIO_EUR,9.4
bop_its6_det,SJ312,CRE,US,DE,2015,MIO_EUR,678.0
bop_its6_det,SJ312,CRE,US,DE,2016,MIO_EUR,731.0
bop_its6_det,SJ312,CRE,US,DE,2020,MIO_EUR,625.0
bop_its6_det,SJ312,CRE,US,DE,2021,MIO_EUR,785.0
bop_its6_det,SJ312,CRE,US,DE,2022,MIO_EUR,949.0
bop_its6_det,SJ312,CRE,US,DE,2023,MIO_EUR,1079.0
bop_its6_det,SJ312,CRE,US,DE,2024,MIO_EUR,1223.0
